fast_period,slow_period,total_return,cagr,max_drawdown,ann_vol,sharpe,sortino,calmar,n_entries,n_exits,n_flips,n_round_trips,avg_hold_bars,median_hold_bars,turnover,round_trip_bps,trend_period,lag
33,67,1.6153785584314222,0.0600432528215018,-0.23551877250168973,0.13228816313022781,0.5068742858881826,0.4614386910291874,0.2549404116865929,3316,3316,194,3316,61.22225572979493,27.0,0.01759932210018577,2.0,200,1
34,72,1.5649609700740315,0.0587925112663259,-0.2310465532966891,0.13220480406033863,0.4981777218905875,0.456715478790716,0.2544617542544764,3245,3244,203,3244,63.162095531587056,28.0,0.017285943857661096,2.0,200,1
33,68,1.802288899044667,0.06449047838175459,-0.2536958142080964,0.13278407871225154,0.5370019080405628,0.49135733794138436,0.2542039512282046,3309,3309,199,3309,61.76065276518586,27.0,0.01758929399642498,2.0,200,1
35,76,1.524449536482067,0.057770670358395115,-0.22756725925230936,0.131668155334734,0.49233651749466023,0.4519091894588889,0.2538619595288238,3188,3187,197,3187,64.46580928481806,28.0,0.016970058589196223,2.0,200,1
30,94,1.3912804096359217,0.054299606815052526,-0.21396644844537938,0.13350444883839635,0.46276720986582526,0.42874162617034917,0.2537762682400832,3206,3205,175,3205,65.39051777916407,27.0,0.016950002381674642,2.0,200,1
35,77,1.595255699483464,0.05954679095749982,-0.23481251768540923,0.13124279933035762,0.5062910916952694,0.46425906393726674,0.25359291550750207,3164,3163,192,3163,64.79140328697851,28.0,0.016824651084664775,2.0,200,1
34,62,1.3934225957907782,0.05435686543332796,-0.21454307930934913,0.13199473851544702,0.4669616798711494,0.423065339304471,0.25336107605200786,3339,3339,209,3339,60.695717280622944,28.0,0.017789856071640773,2.0,200,1
32,68,1.6008015979659267,0.059683976763134305,-0.23600435597663405,0.132401028540486,0.5039947847187751,0.45881994748258026,0.25289353883384846,3324,3324,191,3324,61.08453670276775,27.0,0.017624392359587744,2.0,200,1
34,78,1.5558724531213861,0.05856459269362402,-0.23175273853461031,0.13166774685629476,0.4980341865577806,0.4584481128437835,0.2527029154603836,3192,3191,193,3191,64.44799498746868,28.0,0.016970058589196223,2.0,200,1
34,68,1.754756877879871,0.0633865721886766,-0.2510291108482341,0.1329185772603476,0.5287869622759268,0.4845592262696594,0.252506858565095,3299,3299,200,3299,62.187632615944224,28.0,0.017544167529501428,2.0,200,1
40,65,1.5090331368325742,0.05737776372189485,-0.22734434169958417,0.1313083185469114,0.4904977334752556,0.4452053365169856,0.25238263373061903,3161,3160,185,3160,63.937994305599496,29.0,0.016774510565860826,2.0,200,1
35,62,1.347992833096753,0.05313212573514137,-0.21073031985855095,0.1317286386645682,0.45881474087351976,0.41467305093452345,0.25213327522496704,3309,3309,189,3309,60.98488969477184,27.0,0.01753915347762103,2.0,200,1
34,67,1.6976814549085981,0.062037135601408,-0.24635434056140326,0.13272700673446577,0.5197913880399274,0.475188273370102,0.2518207532290075,3296,3296,199,3296,61.93082524271845,28.0,0.017524111321979847,2.0,200,1
37,73,1.5894905162522965,0.05940388859225343,-0.2359445992232776,0.13153247221799855,0.5044383787061676,0.46206208259137355,0.2517704952256132,3166,3165,193,3165,64.68477574226152,28.0,0.01683969324030596,2.0,200,1
40,56,1.336375851400187,0.05281537076231224,-0.21015644419497093,0.1317016367949851,0.45659675341958167,0.4121730719227882,0.2513145431472623,3286,3286,187,3286,61.28362751065125,28.0,0.017413802180611164,2.0,200,1
34,69,1.638295362800544,0.06060429428828318,-0.24117570334531957,0.13259110453675937,0.5100069198436429,0.46698362400167454,0.2512868976752144,3280,3279,203,3279,62.51280487804878,28.0,0.017461435673474912,2.0,200,1
38,59,1.3968133020446083,0.05444739749037231,-0.21677336776072387,0.13164613409169953,0.46849829699144224,0.4234506264672582,0.2511719869134098,3278,3278,186,3278,61.292251372788286,28.0,0.01736867571368761,2.0,200,1
